index,PSCT,ticker
2016-03-31 00:00:00+00:00,38.3833702745,SLYG
2016-04-29 00:00:00+00:00,38.4611008745,SLYG
2016-01-29 00:00:00+00:00,32.2713086561,RWL
2016-02-29 00:00:00+00:00,32.5485508971,RWL
2016-03-31 00:00:00+00:00,34.8571706831,RWL
2016-04-29 00:00:00+00:00,35.0045371509,RWL
2016-01-29 00:00:00+00:00,32.7266233587,IWX
2016-02-29 00:00:00+00:00,32.7680505151,IWX
2016-03-31 00:00:00+00:00,34.7882088815,IWX
2016-04-29 00:00:00+00:00,35.414732246,IWX
2016-01-29 00:00:00+00:00,28.0228025222,RYJ
2016-02-29 00:00:00+00:00,28.3046280915,RYJ
2016-03-31 00:00:00+00:00,30.6822435395,RYJ
2016-04-29 00:00:00+00:00,31.4058370319,RYJ
2016-01-29 00:00:00+00:00,19.9609582672,SCHX
2016-02-29 00:00:00+00:00,19.9305564596,SCHX
2016-03-31 00:00:00+00:00,21.3195809168,SCHX
2016-04-29 00:00:00+00:00,21.4112498766,SCHX
2016-01-29 00:00:00+00:00,46.7371981655,IWY
2016-02-29 00:00:00+00:00,46.4981332132,IWY
2016-03-31 00:00:00+00:00,49.5826391799,IWY
2016-04-29 00:00:00+00:00,48.9735838689,IWY
2016-01-29 00:00:00+00:00,14.2007751409,PNQI
2016-02-29 00:00:00+00:00,14.3685568031,PNQI
2016-03-31 00:00:00+00:00,15.144539492,PNQI
2016-04-29 00:00:00+00:00,15.2845075095,PNQI
2016-01-29 00:00:00+00:00,13.9195133776,PBP
2016-02-29 00:00:00+00:00,14.1906264009,PBP
2016-03-31 00:00:00+00:00,14.4784744306,PBP
2016-04-29 00:00:00+00:00,14.5142237502,PBP
2016-01-29 00:00:00+00:00,20.1223046328,SCHB
2016-02-29 00:00:00+00:00,20.1179529233,SCHB
2016-03-31 00:00:00+00:00,21.5518812488,SCHB
2016-04-29 00:00:00+00:00,21.6743351196,SCHB
2016-01-29 00:00:00+00:00,38.4018487139,RWK
2016-02-29 00:00:00+00:00,39.7962264884,RWK
2016-03-31 00:00:00+00:00,43.710902022,RWK
2016-04-29 00:00:00+00:00,43.7604221438,RWK
2016-01-29 00:00:00+00:00,38.802739834,IWL
2016-02-29 00:00:00+00:00,38.7678932708,IWL
2016-03-31 00:00:00+00:00,41.1207366785,IWL
2016-04-29 00:00:00+00:00,41.2347753696,IWL
2016-01-29 00:00:00+00:00,36.0873713079,SLYV
2016-02-29 00:00:00+00:00,36.8917880209,SLYV
2016-03-31 00:00:00+00:00,40.3795103616,SLYV
2016-04-29 00:00:00+00:00,41.1826718171,SLYV
2016-01-29 00:00:00+00:00,21.3959329422,SCHA
2016-02-29 00:00:00+00:00,21.534345697,SCHA
2016-03-31 00:00:00+00:00,23.3406433057,SCHA
2016-04-29 00:00:00+00:00,23.7891568204,SCHA
2016-01-29 00:00:00+00:00,34.4958948335,PSCU
2016-02-29 00:00:00+00:00,34.9835842044,PSCU
2016-03-31 00:00:00+00:00,36.5762081097,PSCU
2016-04-29 00:00:00+00:00,35.9660622894,PSCU
2016-01-29 00:00:00+00:00,32.7262198405,SCHV
2016-02-29 00:00:00+00:00,32.6700030211,SCHV
2016-03-31 00:00:00+00:00,34.9467053678,SCHV
2016-04-29 00:00:00+00:00,35.3997182151,SCHV
2016-01-29 00:00:00+00:00,23.0898996978,SCHG
