TICKER,Sector,Percentage of portfolio,Percentage of sector
BVRDF,Industrials,4.7054394880481836e-05,0.000564652738565782
CUCSF,Industrials,4.7054394880481836e-05,0.000564652738565782
BNTGF,Industrials,4.7054394880481836e-05,0.000564652738565782
FOSUF,Industrials,4.7054394880481836e-05,0.000564652738565782
PKBAF,Industrials,4.7054394880481836e-05,0.000564652738565782
AOMFF,Industrials,4.7054394880481836e-05,0.000564652738565782
MITSF,Industrials,4.7054394880481836e-05,0.000564652738565782
HHULF,Industrials,4.7054394880481836e-05,0.000564652738565782
FMMFF,Industrials,4.7054394880481836e-05,0.000564652738565782
CICOF,Industrials,4.7054394880481836e-05,0.000564652738565782
PCFBF,Industrials,4.7054394880481836e-05,0.000564652738565782
KHNGF,Industrials,4.7054394880481836e-05,0.000564652738565782
DNGFF,Industrials,4.7054394880481836e-05,0.000564652738565782
THAFF,Industrials,4.7054394880481836e-05,0.000564652738565782
KKWFF,Industrials,4.7054394880481836e-05,0.000564652738565782
RTLLF,Industrials,4.7054394880481836e-05,0.000564652738565782
DLPTF,Industrials,4.7054394880481836e-05,0.000564652738565782
LONKF,Industrials,4.7054394880481836e-05,0.000564652738565782
DSDVF,Industrials,4.7054394880481836e-05,0.000564652738565782
WHWRF,Industrials,4.7054394880481836e-05,0.000564652738565782
CRWOF,Industrials,4.7054394880481836e-05,0.000564652738565782
SPXSF,Industrials,4.7054394880481836e-05,0.000564652738565782
HOCFF,Industrials,4.7054394880481836e-05,0.000564652738565782
CKOCF,Industrials,4.7054394880481836e-05,0.000564652738565782
SMVR,Industrials,4.7054394880481836e-05,0.000564652738565782
COLDF,Industrials,4.7054394880481836e-05,0.000564652738565782
ALFVF,Industrials,4.7054394880481836e-05,0.000564652738565782
OERCF,Industrials,4.7054394880481836e-05,0.000564652738565782
CITAF,Industrials,4.7054394880481836e-05,0.000564652738565782
SNGSF,Industrials,4.7054394880481836e-05,0.000564652738565782
RNMBF,Industrials,4.7054394880481836e-05,0.000564652738565782
YSHLF,Industrials,4.7054394880481836e-05,0.000564652738565782
JETR,Industrials,4.7054394880481836e-05,0.000564652738565782
AJISF,Industrials,4.7054394880481836e-05,0.000564652738565782
FSLUF,Industrials,4.7054394880481836e-05,0.000564652738565782
NYUKF,Industrials,4.7054394880481836e-05,0.000564652738565782
ITSPF,Industrials,4.7054394880481836e-05,0.000564652738565782
GYUAF,Industrials,4.7054394880481836e-05,0.000564652738565782
TLPFF,Industrials,4.7054394880481836e-05,0.000564652738565782
ICTEF,Industrials,4.7054394880481836e-05,0.000564652738565782
ZHUZF,Industrials,4.7054394880481836e-05,0.000564652738565782
DKILF,Industrials,4.7054394880481836e-05,0.000564652738565782
CJPRF,Industrials,4.7054394880481836e-05,0.000564652738565782
CHFFF,Industrials,4.7054394880481836e-05,0.000564652738565782
WJRYF,Industrials,4.7054394880481836e-05,0.000564652738565782
SMEBF,Industrials,4.7054394880481836e-05,0.000564652738565782
ATASF,Industrials,4.7054394880481836e-05,0.000564652738565782
KNCRF,Industrials,4.7054394880481836e-05,0.000564652738565782
BDVSF,Industrials,4.7054394880481836e-05,0.000564652738565782
PYOIF,Industrials,4.7054394880481836e-05,0.000564652738565782
MLSPF,Industrials,4.7054394880481836e-05,0.000564652738565782
DAWIF,Industrials,4.7054394880481836e-05,0.000564652738565782
QRHC,Industrials,4.7054394880481836e-05,0.000564652738565782
NPSGF,Industrials,4.7054394880481836e-05,0.000564652738565782
MFGHF,Industrials,4.7054394880481836e-05,0.000564652738565782
KUBTF,Industrials,4.7054394880481836e-05,0.000564652738565782
JGCCF,Industrials,4.7054394880481836e-05,0.000564652738565782
LOIMF,Industrials,4.7054394880481836e-05,0.000564652738565782
NGKIF,Industrials,4.7054394880481836e-05,0.000564652738565782
KLKNF,Industrials,4.7054394880481836e-05,0.000564652738565782
IPSBF,Industrials,4.7054394880481836e-05,0.000564652738565782
HYUHF,Industrials,4.7054394880481836e-05,0.000564652738565782
KUKAF,Industrials,4.7054394880481836e-05,0.000564652738565782
ARCVF,Industrials,4.7054394880481836e-05,0.000564652738565782
IKTSF,Industrials,4.7054394880481836e-05,0.000564652738565782
IHICF,Industrials,4.7054394880481836e-05,0.000564652738565782
KBAGF,Industrials,4.7054394880481836e-05,0.000564652738565782
BDVSY,Industrials,4.7054394880481836e-05,0.000564652738565782
ATASY,Industrials,4.7054394880481836e-05,0.000564652738565782
ACCO,Industrials,4.7054394880481836e-05,0.000564652738565782
HTDS,Industrials,4.7054394880481836e-05,0.000564652738565782
PTSH,Industrials,4.7054394880481836e-05,0.000564652738565782
AFLYY,Industrials,4.7054394880481836e-05,0.000564652738565782
EVTNF,Industrials,4.7054394880481836e-05,0.000564652738565782
GSPT,Industrials,4.7054394880481836e-05,0.000564652738565782
BZLFY,Industrials,4.7054394880481836e-05,0.000564652738565782
AMHD,Industrials,4.7054394880481836e-05,0.000564652738565782
COSG,Industrials,4.7054394880481836e-05,0.000564652738565782
XNNHQ,Industrials,4.7054394880481836e-05,0.000564652738565782
GSIH,Industrials,4.7054394880481836e-05,0.000564652738565782
HIL,Industrials,4.7054394880481836e-05,0.000564652738565782
ARC,Industrials,4.7054394880481836e-05,0.000564652738565782
PHOT,Industrials,4.7054394880481836e-05,0.000564652738565782
BECN,Industrials,4.7054394880481836e-05,0.000564652738565782
EAUI,Industrials,4.7054394880481836e-05,0.000564652738565782
AVAV,Industrials,4.7054394880481836e-05,0.000564652738565782
ACM,Industrials,4.7054394880481836e-05,0.000564652738565782
CVGI,Industrials,4.7054394880481836e-05,0.000564652738565782
BXC,Industrials,4.7054394880481836e-05,0.000564652738565782
